ref_id,ref_doi,ref_author,ref_year,ref_title,ref_journal,References full citation,notes,biomass_equation_source
baskerville_1966_dnpi,doi.org/10.1093/forestscience/12.1.49,baskerville,1966,"Dry-Matter Production in Immature Balsam Fir Stands: Roots Lesser Vegetation, and Total Stand.","Forest Science 12:1, 49–53.",NA,NA,"Baskerville, 1966"
bond-lamberty_2002_aabb,doi.org/10.1139/x02-063,bond-lamberty,2002,Aboveground and belowground biomass and sapwood area allometric equations for six boreal tree species of northern Manitoba.,"Canadian Journal of Forest Research, 2002, 32(8): 1441-1450","Bond-Lamberty, B., C Wang, S Gower. 2002. Aboveground and belowground biomass and sapwood area allometric equations for six boreal tree species of northern Manitoba. Canadian Journal of Forest Research, 2002, 32(8): 1441-1450",NA,"Bond-Lamberty et al, 2002"
bohn_2014_ocai,doi.org/10.1016/j.ecolmodel.2014.01.021,bohn,2014,Of climate and its resulting tree growth: Simulating the productivity of temperate forests,Ecological Modelling,NA,NA,
bridge_1979_fpom,NRA,bridge,1979,Fuelwood production of mixed hardwoods on mesic sites in Rhode Island.,"Kingston, RI: University of Rhode Island. M.S. thesis.","Bridge, J. 1979. Fuelwood production of mixed hardwoods on mesic sites in Rhode Island. Kingston, RI: University of Rhode Island. Open Access Master's Theses. Paper 177",NA,Bridge 1979
chojnacky_1984_vabf,NRA,chojnacky,1984,Volume and biomass for curlleaf Cercocarpus in Nevada.,"Res. Pap. INT-332. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",NA,NA,Chojnacky 1984
chojnacky_1993_cwvt,NRA,chojnacky,1993,Converting wood volume to biomass for pinyon and juniper,"Res. Note INT-411. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Research Station","Chojnacky, D.; Moisen, G. 1993. Converting wood volume to biomass for pinyon and juniper. Res. Note INT-411. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Research Station",NA,"Chojnacky and Moisen, 1993"
chojnacky_2014_ugbe,doi.org/10.1093/forestry/cpt053,chojnacky,2014,Updated generalized biomass equations for North American tree species.,"Forestry, 129–151.","Chojnacky DC, Heath LS, Jenkins JC (2014) Updated generalized biomass equations for North American tree species. Forestry, 129–151.",NA,Chojnacky et al. 2014
clark_1986a_wvap,doi.org/10.2737/se-rp-253 ,clark,1986,"Weight, Volume, and Physical Properties of Major Hardwood Species in the Southern Appalachian Mountains.","Research Paper SE-253. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station; 63 p.","Clark and Schroeder. 1986. Weight, Volume, and Physical Properties of Major Hardwood Species in the Southern Appalachian Mountains. Research Paper SE-253. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",NA,"Clark and Schroeder, 1986"
clark_1986b_wvap,doi.org/10.2737/se-rp-255 ,clark,1986,"Weight, volume, and physical properties of major hardwood species in the Piedmont.","Research Paper SE-255. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station: 84 p.","Clark, A. I.; Phillips, D.; Frederick, D. 1986. Weight, volume, and physical properties of major hardwood species in the Piedmont. Research Paper SE-255. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",NA,"Clark and Schroeder, 1986"
coltrin_2010_bqol,NRA,coltrin,2010,"Biomass Quantification of Live Trees in a Mixed Evergreen Forest Using Diameter-Based Allometric Equations. Humboldt State University, 52 pp. M.S. thesis.","Humboldt State University, 52 pp. M.S. thesis.","Coltrin W.R. 2010. Biomass Quantification of Live Trees in a Mixed Evergreen Forest Using Diameter-Based Allometric Equations. Humboldt State University, 52 pp. M.S. thesis.",NA,Coltrin 2010.
fenn_2014_tcco,doi:10.1007/s10021-014-9793-1,fenn,2014,The Carbon Cycle of a Maritime Ancient Temperate Broadleaved Woodland at Seasonal and Annual Scales.,Ecosystems,NA,NA,Fenn et al. 2014
gower_1992_cdor,NRA,gower,1992,Carbon dynamics of Rocky Mountain Douglasfir: influence of water and nutrient availability.,Ecological Monographs. 62: 43-65.,"Gower, S. T.; Vogt, K. A.; Grier, C. C. 1992. Carbon dynamics of Rocky Mountain Douglasfir: influence of water and nutrient availability. Ecological Monographs. 62: 43-65.",NA,"Gower, 1992"
grier_1992_bdap,NRA,grier,1992,Biomass distribution and productivity of Pinus edulis-Juniperus monosperma woodlands of north-central Arizona.,Forest Ecology and Management. 50: 331-350.,"Grier, C.; Elliott, K.; McCullough, D. 1992. Biomass distribution and productivity of Pinus edulis-Juniperus monosperma woodlands of north-central Arizona. Forest Ecology and Management. 50: 331-350.",NA,"Grier, 1992"
halpern_1996_efpa,NRA,halpern,1996,"Equations for Predicting Above-ground Biomass of Plant Species in Early Successional Forests of the Western Cascade Range, Oregon.",Northwest Science. Vol. 70. No.1: 306-320.,"Halpern C.H. and E. A. Millet. 1996. Equations for Predicting Above-ground Biomass of Plant Species in Early Successional Forests of the Western Cascade Range, Oregon. Northwest Science. Vol. 70. No.1: 306-320.",NA,"Halpern and Millet, 1996"
he_2018_daef,doi:10.3390/f9090569,he,2018,Developing Allometric Equations for Estimating Shrub Biomass in a Boreal Fen ,"Forests 9, 569",NA,NA,
jenkins_2004_cdod,doi.org/10.2737/NE-GTR-319,jenkins,2004,Comprehensive database of diameter-based biomass regressions for North American tree species.,"Gen. Tech. Rep. NE-319. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northeastern Research Station. 45 p.","Jenkins JC, Chojnacky DC, Heath LS, Birdsey RA (2004) Comprehensive database of diameter-based biomass regressions for North American tree species. Gen. Tech. Rep. NE-319. Newtown Square, PA: U.S. Department of Agriculture, Forest Service, Northeastern Research Station. 45 p.",NA,Jenkins et al. 2004
lutz_2014_ccaa,doi: 10.1139/cjfr-2013-052,lutz,2014,"Community composition and allometry of Leucothoe davisiae, Cornus sericea, and Chrysolepis sempervirens.","Canadian Journal of Forest Research, 44, 677–683.","Lutz JA, Schwindt KA, Furniss TJ et al. (2014) Community composition and allometry of Leucothoe davisiae, Cornus sericea, and Chrysolepis sempervirens. Canadian Journal of Forest Research, 44, 677–683.",NA,Lutz et atl (2014)
martin_1998_aban,doi.org/10.1139/cjfr-28-11-1648 ,martin,1998,Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species.,Canadian Journal of Forest Research. 28: 1648-1659.,"Martin, J.; Kloeppel, B.; Schaefer, T.; Kimbler, D.; McNulty, S. 1998. Aboveground biomass and nitrogen allocation of ten deciduous southern Appalachian tree species. Canadian Journal of Forest Research. 28: 1648-1659.",NA,Martin et al. 1998
means_1107_NA,NA,means,1107,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 1107)"
means_133_NA,NA,means,133,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 133)"
means_187_NA,NA,means,187,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 187)"
means_19_NA,NA,means,19,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 19)"
means_20_NA,NA,means,20,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 20)"
means_21_NA,NA,means,21,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 21)"
means_22_NA,NA,means,22,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 22)"
means_253_NA,NA,means,253,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 253)"
means_27_NA,NA,means,27,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 27)"
means_28_NA,NA,means,28,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 28)"
means_301_NA,NA,means,301,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 301)"
means_323_NA,NA,means,323,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 323)"
means_736_NA,NA,means,736,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 736)"
means_740_NA,NA,means,740,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 740)"
means_767_NA,NA,means,767,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 767)"
means_768_NA,NA,means,768,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 768)"
means_784_NA,NA,means,784,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 784)"
means_991_NA,NA,means,991,NA,NA,NA,NA,"Means et al. 1994 (Biopak, Eq. 991)"
