site,family,genus,latin_name,species_code,life_form,warning
lilly dickey,Sapindaceae,Acer,Acer rubrum,316,Tree,NA
lilly dickey,Sapindaceae,Acer,Acer saccharum,318,Tree,NA
lilly dickey,Rosaceae,Amelanchier,Amelanchier arborea,356,Tree,NA
lilly dickey,Annonaceae,Asimina,Asimina triloba,367,Tree,NA
lilly dickey,Betulaceae,Carpinus,Carpinus caroliniana,391,Tree,NA
lilly dickey,Juglandaceae,Carya,Carya alba,409,Tree,NA
lilly dickey,Juglandaceae,Carya,Carya cordiformis,402,Tree,NA
lilly dickey,Juglandaceae,Carya,Carya glabra,403,Tree,NA
lilly dickey,Juglandaceae,Carya,Carya ovata,407,Tree,NA
lilly dickey,Cannabaceae,Celtis,Celtis occidentalis,462,Tree,NA
lilly dickey,Fabaceae,Cercis,Cercis canadensis,471,Tree,NA
lilly dickey,Cornaceae,Cornus,Cornus florida,491,Tree,NA
lilly dickey,Rosaceae,Crataegus,Crataegus spp.,500,Shrub,NA
lilly dickey,Fagaceae,Fagus,Fagus grandifolia,531,Tree,NA
lilly dickey,Oleaceae,Fraxinus,Fraxinus americana,541,Tree,NA
lilly dickey,Oleaceae,Fraxinus,Fraxinus pennsylvanica,544,Tree,NA
lilly dickey,Hamamelidaceae,Hamamelis,Hamamelis virginiana,498,Shrub,NA
lilly dickey,Cupressaceae,Juniperus,Juniperus virginiana,68,Tree,NA
lilly dickey,Lauraceae,Lindera,Lindera benzoin,609,Shrub,NA
lilly dickey,Magnoliaceae,Liriodendron,Liriodendron tulipifera,621,Tree,NA
lilly dickey,Nyssaceae,Nyssa,Nyssa sylvatica,693,Tree,NA
lilly dickey,Betulaceae,Ostrya,Ostrya virginiana,701,Tree,NA
lilly dickey,Betulaceae,Ostrya,Ostrya virginiana,NA,Tree,NA
lilly dickey,Paulowniaceae,Paulownia,Paulownia tomentosa,712,Tree,NA
lilly dickey,Rosaceae,Prunus,Prunus serotina,762,Tree,NA
lilly dickey,Fagaceae,Quercus,Quercus alba,802,Tree,NA
lilly dickey,Fagaceae,Quercus,Quercus coccinea,806,Tree,NA
lilly dickey,Fagaceae,Quercus,Quercus prinus,832,Tree,NA
lilly dickey,Fagaceae,Quercus,Quercus rubra,833,Tree,NA
lilly dickey,Fagaceae,Quercus,Quercus velutina,837,Tree,NA
lilly dickey,Anacardiaceae,Rhus,Rhus typhina,899,Shrub,NA
lilly dickey,Fabaceae,Robinia,Robinia pseudoacacia,901,Tree,NA
lilly dickey,Lauraceae,Sassafras,Sassafras albidum,931,Tree,NA
lilly dickey,Malvaceae,Tilia,Tilia americana,951,Tree,NA
lilly dickey,Ulmaceae,Ulmus,Ulmus americana,972,Tree,NA
lilly dickey,Ulmaceae,Ulmus,Ulmus rubra,975,Tree,NA
scbi,Sapindaceae,Acer,Acer negundo,acne,Tree,NA
scbi,Sapindaceae,Acer,Acer platanoides,acpl,Tree,NA
scbi,Sapindaceae,Acer,Acer rubrum,acru,Tree,NA
scbi,Sapindaceae,Acer,Acer sp.,acsp,Tree,NA
scbi,Simaroubaceae,Ailanthus,Ailanthus altissima,aial,Tree,NA
scbi,Rosaceae,Amelanchier,Amelanchier arborea,amar,Tree,NA
scbi,Annonaceae,Asimina,Asimina triloba,astr,Tree,NA
scbi,Berberidaceae,Berberis,Berberis thunbergii,beth,Shrub,NA
scbi,Betulaceae,Carpinus,Carpinus caroliniana,caca,Tree,NA
scbi,Juglandaceae,Carya,Carya cordiformis,caco,Tree,NA
scbi,Juglandaceae,Carya,Carya glabra,cagl,Tree,NA
scbi,Juglandaceae,Carya,Carya ovalis,caovl,Tree,NA
scbi,Juglandaceae,Carya,Carya sp.,casp,Tree,NA
scbi,Juglandaceae,Carya,Carya tomentosa,cato,Tree,NA
scbi,Fagaceae,Castanea,Castanea dentata,cade,Tree,NA
scbi,Cannabaceae,Celtis,Celtis occidentalis,ceoc,Tree,NA
scbi,Fabaceae,Cercis,Cercis canadensis,ceca,Tree,NA
scbi,Oleaceae,Chionanthus,Chionanthus virginicus,chvi,Shrub,NA
scbi,Cornaceae,Cornus,Cornus alternifolia,coal,Tree,NA
scbi,Cornaceae,Cornus,Cornus florida,cofl,Tree,NA
scbi,Betulaceae,Corylus,Corylus americana,coam,Shrub,NA
scbi,Rosaceae,Crataegus,Crataegus pruinosa,crpr,Shrub,NA
scbi,Ebenaceae,Diospyros,Diospyros virginiana,divi,Tree,NA
scbi,Elaeagnaceae,Elaeagnus,Elaeagnus umbellata,elum,Shrub,NA
scbi,Celastraceae,Euonymus,Euonymus alatus,eual,Shrub,NA
scbi,Fagaceae,Fagus,Fagus grandifolia,fagr,Tree,NA
scbi,Oleaceae,Fraxinus,Fraxinus americana,fram,Tree,NA
scbi,Oleaceae,Fraxinus,Fraxinus nigra,frni,Tree,NA
scbi,Oleaceae,Fraxinus,Fraxinus pennsylvanica,frpe,Tree,NA
scbi,Oleaceae,Fraxinus,Fraxinus sp.,frsp,Tree,NA
scbi,Hamamelidaceae,Hamamelis,Hamamelis virginiana,havi,Shrub,NA
scbi,Aquifoliaceae,Ilex,Ilex verticillata,ilve,Shrub,NA
scbi,Juglandaceae,Juglans,Juglans cinerea,juci,Tree,NA
scbi,Juglandaceae,Juglans,Juglans nigra,juni,Tree,NA
scbi,Lauraceae,Lindera,Lindera benzoin,libe,Shrub,NA
scbi,Magnoliaceae,Liriodendron,Liriodendron tulipifera,litu,Tree,NA
scbi,Caprifoliaceae,Lonicera,Lonicera maackii,loma,Shrub,NA
scbi,Nyssaceae,Nyssa,Nyssa sylvatica,nysy,Tree,NA
scbi,Paulowniaceae,Paulownia,Paulownia tomentosa,pato,Tree,NA
scbi,Pinaceae,Pinus,Pinus pungens,pipu,Tree,NA
scbi,Pinaceae,Pinus,Pinus strobus,pist,Tree,NA
scbi,Pinaceae,Pinus,Pinus virginiana,pivi,Tree,NA
scbi,Platanaceae,Platanus,Platanus occidentalis,PLOC,Tree,NA
scbi,Rosaceae,Prunus,Prunus avium,prav,Tree,NA
scbi,Rosaceae,Prunus,Prunus persica,prpe,Tree,NA
scbi,Rosaceae,Prunus,Prunus serotina,prse,Tree,NA
scbi,Rosaceae,Prunus,Prunus sp.,prsp,Tree,NA
scbi,Fagaceae,Quercus,Quercus alba,qual,Tree,NA
scbi,Fagaceae,Quercus,Quercus coccinea,quco,Tree,NA
scbi,Fagaceae,Quercus,Quercus falcata,qufa,Tree,NA
scbi,Fagaceae,Quercus,Quercus michauxii,qumi,Tree,NA
scbi,Fagaceae,Quercus,Quercus prinus,qupr,Tree,Accepted name Quercus montana
scbi,Fagaceae,Quercus,Quercus muehlenbergii,qumu,Tree,NA
scbi,Fagaceae,Quercus,Quercus rubra,quru,Tree,NA
scbi,Fagaceae,Quercus,Quercus velutina,quve,Tree,NA
scbi,Fagaceae,Quercus,Quercus sp.,qusp,Tree,NA
scbi,Fabaceae,Robinia,Robinia pseudoacacia,rops,Tree,NA
scbi,Rosaceae,Rosa,Rosa multiflora,romu,Shrub,NA
scbi,Rosaceae,Rubus,Rubus allegheniensis,rual,Shrub,NA
