ref_id,ref_author,ref_year,ref_title,ref_journal,ref_doi,References full citation,notes
,Bridge,1979,Fuelwood production of mixed hardwoods on mesic sites in Rhode Island.,"Kingston, RI: University of Rhode Island. M.S. thesis.",NRA,"Bridge, J. 1979. Fuelwood production of mixed hardwoods on mesic sites in Rhode Island. Kingston, RI: University of Rhode Island. Open Access Master's Theses. Paper 177",
,Bunce,1968,Biomass and production of trees in a mixed deciduous woodland: I. Girth and height as parameters for the estimation of tree dry weight. ,"J. Ecol. 5, 759–775.",doi.org/10.2307/2258105 ,"Bunce, R.G. 1968. Biomass and production of trees in a mixed deciduous woodland: I. Girth and height as parameters for the estimation of tree dry weight. J. Ecol. 5, 759–775.",
,Busing,2005,"Biomass, production and woody detritus in an old coast redwood (Sequoia sempervirens) forest. ",Plant Ecol 177 (2): 177-188,doi.org/10.1007/s11258-005-2322-8 ,"Busing R.T. & T. Fujimori. 2005. Biomass, production and woody detritus in an old coast redwood (Sequoia sempervirens) forest. Plant Ecol 177 (2): 177-188",
,Chojnacky,2014,Updated generalized biomass equations for North American tree species,"Forestry, 129–151.",doi.org/10.1093/forestry/cpt053,"Chojnacky DC, Heath LS, Jenkins JC (2014) Updated generalized biomass equations for North American tree species. Forestry, 129–151.",
,Chojnacky,1984,Volume and biomass for curlleaf Cercocarpus in Nevada.," Res. Pap. INT-332. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station.",NRA,,
,Clark,1986,"Weight, Volume, and Physical Properties of Major Hardwood Species in the Southern Appalachian Mountains.","Research Paper SE-253. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station; 63 p.",doi.org/10.2737/se-rp-253 ,"Clark and Schroeder. 1986. Weight, Volume, and Physical Properties of Major Hardwood Species in the Southern Appalachian Mountains. Research Paper SE-253. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Clark,1985,"Weight, volume, and physical properties of major hardwood species in the Gulf and Atlantic Coastal Plains. ","Research Paper SE-250. Asheville, NC: U.S. Department of Agriculture, Forest Service,  Southeastern Forest Experiment Station: 72 p.",doi.org/10.2737/se-rp-250 ,"Clark, A. I.; Phillips, D.; Frederick, D. 1985. Weight, volume, and physical properties of major hardwood species in the Gulf and Atlantic Coastal Plains. Research Paper SE-250. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Clark,1986,"Weight, volume, and physical properties of major hardwood species in the Piedmont.","Research Paper SE-255. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station: 84 p.",doi.org/10.2737/se-rp-255 ,"Clark, A. I.; Phillips, D.; Frederick, D. 1986. Weight, volume, and physical properties of major hardwood species in the Piedmont. Research Paper SE-255. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station.",
,Coltrin,2010,"Biomass Quantification of Live Trees in a Mixed Evergreen Forest Using Diameter-Based Allometric Equations. Humboldt State University, 52 pp. M.S. thesis.","Humboldt State University, 52 pp. M.S. thesis.",NRA,"Coltrin W.R. 2010. Biomass Quantification of Live Trees in a Mixed Evergreen Forest Using Diameter-Based Allometric Equations. Humboldt State University, 52 pp. M.S. thesis.",
,Fenn,2015,The Carbon Cycle of a Maritime Ancient Temperate Broadleaved Woodland at Seasonal and Annual Scales,"Ecosystems 18, 1-15",doi:10.1007/s10021-014-9793-1,"Fenn, K., Malhi, Y., Morecroft, M. et al. Ecosystems (2015) 18: 1-15. doi:10.1007/s10021-014-9793-1",
,Gholz,1979,Equations for estimating biomass and leaf area of plants in the Pacific Northwest,Res; Pap; 41; Corvallis; OR; Oregon State University; School of Forestry,NRA,Gholz; H; L; Grier; C; C; Campbell; A; G; Brown; A; T; 1979; Equations for estimating biomass and leaf area of plants in the Pacific Northwest; Res; Pap; 41; Corvallis; OR; Oregon State University; School of Forestry,
,Grier,1977,Old-growth Pseudotsuga menziesii communities of a western Oregon watershed; biomass distribution and production budgets,Ecological Monographs; 47; 373-400,doi.org/10.2307/1942174 ,Grier; C; C; Logan; R; S; 1977; Old-growth Pseudotsuga menziesii communities of a western Oregon watershed; biomass distribution and production budgets; Ecological Monographs; 47; 373-400,
