wsg_id,family,species,wsg,wsg_specificity,sample_size,site,ref_id
NA,Sapindaceae,Acer rubrum,0.49,NA,NA,Lilly Dicky,NA
NA,Sapindaceae,Acer saccharum,0.56,NA,NA,Lilly Dicky,NA
NA,Rosaceae,Amelanchier arborea,0.66,NA,NA,Lilly Dicky,NA
NA,Annonaceae,Asimina triloba,0.47,NA,NA,Lilly Dicky,NA
NA,Betulaceae,Carpinus caroliniana,0.58,NA,NA,Lilly Dicky,NA
NA,Juglandaceae,Carya alba,0.62,NA,10,Lilly Dicky,NA
NA,Juglandaceae,Carya cordiformis,0.6,NA,10,Lilly Dicky,NA
NA,Juglandaceae,Carya glabra,0.66,NA,10,Lilly Dicky,NA
NA,Juglandaceae,Carya ovata,0.62,NA,NA,Lilly Dicky,NA
NA,Cannabaceae,Celtis occidentalis,0.49,NA,NA,Lilly Dicky,NA
NA,Fabaceae,Cercis canadensis,0.63,NA,NA,Lilly Dicky,NA
NA,Cornaceae,Cornus florida,0.64,NA,NA,Lilly Dicky,NA
NA,Rosaceae,Crataegus sp.,0.62,NA,NA,Lilly Dicky,NA
NA,Fagaceae,Fagus grandifolia,0.56,NA,NA,Lilly Dicky,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,32,Lilly Dicky,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,40,Lilly Dicky,NA
NA,Oleaceae,Fraxinus pennsylvanica,0.53,NA,32,Lilly Dicky,NA
NA,Hamamelidaceae,Hamamelis virginiana,0.71,NA,21,Lilly Dicky,NA
NA,Cupressaceae,Juniperus virginiana,0.44,NA,NA,Lilly Dicky,NA
NA,Lauraceae,Lindera benzoin,0.5,NA,NA,Lilly Dicky,NA
NA,Magnoliaceae,Liriodendron tulipifera,0.4,NA,NA,Lilly Dicky,NA
NA,Nyssaceae,Nyssa sylvatica,0.46,NA,NA,Lilly Dicky,NA
NA,Betulaceae,Ostrya virginiana,0.63,NA,NA,Lilly Dicky,NA
NA,Paulowniaceae,Paulownia tomentosa,0.38,NA,NA,Lilly Dicky,NA
NA,Rosaceae,Prunus serotina,0.47,NA,NA,Lilly Dicky,NA
NA,Fagaceae,Quercus alba,0.6,NA,29,Lilly Dicky,NA
NA,Fagaceae,Quercus coccinea,0.6,NA,NA,Lilly Dicky,NA
NA,Fagaceae,Quercus prinus,0.57,NA,NA,Lilly Dicky,NA
NA,Fagaceae,Quercus rubra,0.56,NA,NA,Lilly Dicky,NA
NA,Fagaceae,Quercus velutina,0.56,species,19,Lilly Dicky,NA
NA,Fagaceae,Quercus velutina,0.56,species,34,Lilly Dicky,NA
NA,Fagaceae,Quercus velutina,0.56,species,26,Lilly Dicky,NA
NA,Anacardiaceae,Rhus typhina,0.5,NA,NA,Lilly Dicky,NA
NA,Fabaceae,Robinia pseudoacacia,0.6,species,9,Lilly Dicky,NA
NA,Fabaceae,Robinia pseudoacacia,0.66,species,9,Lilly Dicky,NA
NA,Lauraceae,Sassafras albidum,0.42,NA,41,Lilly Dicky,NA
NA,Malvaceae,Tilia americana,0.32,NA,NA,Lilly Dicky,NA
NA,Ulmaceae,Ulmus americana,0.46,NA,NA,Lilly Dicky,NA
NA,Ulmaceae,Ulmus rubra,0.48,NA,NA,Lilly Dicky,NA
NA,Aceraceae,Acer negundo,0.44,NA,NA,SCBI,NA
NA,Aceraceae,Acer platanoides,0.44,NA,NA,SCBI,NA
NA,Aceraceae,Acer rubrum,0.49,NA,NA,SCBI,NA
NA,Simaroubaceae,Ailanthus altissima,0.33,NA,NA,SCBI,NA
NA,Rosaceae,Amelanchier arborea,0.66,NA,NA,SCBI,NA
NA,Annonaceae,Asimina triloba,0.47,NA,NA,SCBI,NA
NA,Berberidaceae,Berberis thunbergii,0.5,NA,NA,SCBI,NA
NA,Betulaceae,Carpinus caroliniana,0.58,NA,NA,SCBI,NA
NA,Juglandaceae,Carya cordiformis,0.6,NA,10,SCBI,NA
NA,Juglandaceae,Carya glabra,0.66,NA,10,SCBI,NA
NA,Juglandaceae,Carya ovalis,0.62,NA,10,SCBI,NA
NA,Juglandaceae,Carya tomentosa,0.64,NA,10,SCBI,NA
NA,Fagaceae,Castanea dentata,0.4,NA,NA,SCBI,NA
NA,Cannabaceae,Celtis occidentalis,0.49,NA,NA,SCBI,NA
NA,Fabaceae,Cercis canadensis,0.63,NA,NA,SCBI,NA
NA,Oleaceae,Chionanthus virginicus,0.5,NA,NA,SCBI,NA
NA,Cornaceae,Cornus alternifolia,0.64,NA,NA,SCBI,NA
NA,Cornaceae,Cornus florida,0.64,NA,NA,SCBI,NA
NA,Betulaceae,Corylus americana,0.5,NA,NA,SCBI,NA
NA,Rosaceae,Crataegus pruinosa,0.62,NA,NA,SCBI,NA
NA,Ebenaceae,Diospyros virginiana,0.64,NA,NA,SCBI,NA
NA,Elaeagnaceae,Elaeagnus umbellata,0.5,NA,NA,SCBI,NA
NA,Celastraceae,Euonymus alatus,0.5,NA,NA,SCBI,NA
NA,Fagaceae,Fagus grandifolia,0.56,NA,NA,SCBI,NA
NA,Oleaceae,Fraxinus americana,0.51,NA,NA,SCBI,NA
NA,Oleaceae,Fraxinus nigra,0.45,NA,NA,SCBI,NA
NA,Oleaceae,Fraxinus pennsylvanica,0.53,NA,NA,SCBI,NA
NA,Hamamelidaceae,Hamamelis virginiana,0.71,NA,21,SCBI,NA
NA,Aquifoliaceae,Ilex verticillata,0.5,NA,NA,SCBI,NA
NA,Juglandaceae,Juglans cinerea,0.36,NA,NA,SCBI,NA
NA,Juglandaceae,Juglans nigra,0.51,NA,NA,SCBI,NA
NA,Lauraceae,Lindera benzoin,0.5,NA,NA,SCBI,NA
NA,Magnoliaceae,Liriodendron tulipifera,0.4,NA,NA,SCBI,NA
NA,Caprifoliaceae,Lonicera maackii,NRA,NA,20,SCBI,NA
NA,Nyssaceae,Nyssa sylvatica,0.46,NA,NA,SCBI,NA
NA,Paulowniaceae,Paulownia tomentosa,0.38,NA,NA,SCBI,NA
NA,Pinaceae,Pinus pungens,0.49,NA,NA,SCBI,NA
NA,Pinaceae,Pinus strobus,0.34,NA,NA,SCBI,NA
NA,Pinaceae,Pinus virginiana,0.45,NA,NA,SCBI,NA
NA,Platanaceae,Platanus occidentalis,0.46,NA,NA,SCBI,NA
