ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50068748,G,Araucariaceae,,Agathis,,"alba",,"","(Lam.) Foxw.",Accepted,,M,TRO,50068748,676633-1,"Philipp. J. Sci.","1910: 173","173","1910"
kew-4505,G,Araucariaceae,,Agathis,,"atropurpurea",,"","Hyland",Accepted,,H,WCSP,4505,92689-1,"Brunonia","1: 109","","1978"
kew-4506,G,Araucariaceae,,Agathis,,"australis",,"","(D.Don) Lindl.",Accepted,,H,WCSP,4506,261668-1,"Encycl. Pl.","802","","1829"
kew-4509,G,Araucariaceae,,Agathis,,"borneensis",,"","Warb.",Accepted,,H,WCSP,4509,676636-1,"Monsunia","1: 184","","1900"
kew-4514,G,Araucariaceae,,Agathis,,"dammara",,"","(Lamb.) Rich. & A.Rich.",Accepted,,L,WCSP,4514,,"Comm. Bot. Conif. Cycad.","83","","1826"
kew-4517,G,Araucariaceae,,Agathis,,"flavescens",,"","Ridl.",Accepted,,H,WCSP,4517,676640-1,"Bull. Misc. Inform. Kew","1914: 332","","1914"
tro-2300046,G,Araucariaceae,,Agathis,,"hami",,"","Meijer Drees",Unresolved,,L,TRO,2300046,,"Bull. Jard. Bot. Buitenzorg, sér. 3,","16: 462","462","1940"
kew-4520,G,Araucariaceae,,Agathis,,"kinabaluensis",,"","de Laub.",Accepted,,H,WCSP,4520,92691-1,"Blumea","25: 535","","1979"
kew-4521,G,Araucariaceae,,Agathis,,"labillardierei",,"","Warb.",Accepted,,H,WCSP,4521,676643-1,"Monsunia","1: 183","","1900"
kew-4522,G,Araucariaceae,,Agathis,,"lanceolata",,"","Warb.",Accepted,,H,WCSP,4522,676644-1,"Monsunia","1: 186","","1900"
kew-4524,G,Araucariaceae,,Agathis,,"lenticula",,"","de Laub.",Accepted,,H,WCSP,4524,92692-1,"Blumea","25: 537","","1979"
kew-4526,G,Araucariaceae,,Agathis,,"macrophylla",,"","(Lindl.) Mast.",Accepted,,H,WCSP,4526,676647-1,"J. Roy. Hort. Soc.","14: 197","","1892"
tro-50009165,G,Araucariaceae,,Agathis,,"macrostrobila",,"","Merr.",Unresolved,,L,TRO,50009165,,"","","",""
kew-4530,G,Araucariaceae,,Agathis,,"microstachya",,"","J.F.Bailey & C.T.White",Accepted,,H,WCSP,4530,676649-1,"Contr. Queensland Fl. Bot. Bull.","18: 13","","1916"
kew-4531,G,Araucariaceae,,Agathis,,"montana",,"","de Laub.",Accepted,,H,WCSP,4531,92693-1,"Trav. Lab. Forest. Toulouse","1(8): 5","","1969"
kew-4532,G,Araucariaceae,,Agathis,,"moorei",,"","(Lindl.) Mast.",Accepted,,H,WCSP,4532,676650-1,"J. Roy. Hort. Soc.","14: 197","","1892"
