ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-329557,G,Gnetaceae,,Abutua,,"africana",,"","Lour.",Unresolved,,L,WCSP,329557,383337-1,"Fl. Cochinch.","631","","1790"
kew-334091,G,Gnetaceae,,Gnetum,,"acutum",,"","Markgr.",Accepted,,H,WCSP,334091,383498-1,"in Fl. Males.","6: 947","","1972"
kew-334092,G,Gnetaceae,,Gnetum,,"africanum",,"","Welw.",Accepted,,H,WCSP,334092,383499-1,"Trans. Linn. Soc. London","27: 73","","1869"
kew-334095,G,Gnetaceae,,Gnetum,,"arboreum",,"","Foxw.",Accepted,,H,WCSP,334095,383502-1,"Philipp. J. Sci., C","6: 174","","1911"
kew-334096,G,Gnetaceae,,Gnetum,,"bosavicum",,"","Markgr.",Accepted,,H,WCSP,334096,383503-1,"Blumea","23: 344","","1977"
kew-334098,G,Gnetaceae,,Gnetum,,"buchholzianum",,"","Engl.",Accepted,,H,WCSP,334098,383505-1,"Bot. Jahrb. Syst.","40: 519","","1908"
kew-334100,G,Gnetaceae,,Gnetum,,"camporum",,"","(Markgr.) D.W.Stev. & Zanoni",Accepted,,H,WCSP,334100,963157-1,"in Fl. Guianas","Ser. A, 9(209): 14","","1991"
kew-334101,G,Gnetaceae,,Gnetum,,"catasphaericum",,"","H.Shao",Accepted,,H,WCSP,334101,980746-1,"Guihaia","14: 297","","1994"
kew-334102,G,Gnetaceae,,Gnetum,,"cavaleriei",,"","H.Lév.",Unresolved,,L,WCSP,334102,,"Fl. Kouy-Tchéou","186","","1915"
kew-334103,G,Gnetaceae,,Gnetum,,"cleistostachyum",,"","C.Y.Cheng",Unresolved,,L,WCSP,334103,383508-1,"Acta Phytotax. Sin.","13(4): 89","","1975"
tro-14300010,G,Gnetaceae,,Gnetum,,"colombianum",,"","Killip",Unresolved,,L,TRO,14300010,,"","","",""
kew-334104,G,Gnetaceae,,Gnetum,,"contractum",,"","Markgr.",Accepted,,H,WCSP,334104,383509-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 470","","1930"
kew-334105,G,Gnetaceae,,Gnetum,,"costatum",,"","K.Schum.",Accepted,,H,WCSP,334105,383510-1,"Fl. Kais. Wilh. Land","13","","1889"
kew-334107,G,Gnetaceae,,Gnetum,,"cuspidatum",,"","Blume",Accepted,,H,WCSP,334107,383512-1,"Rumphia","4: 5","","1849"
kew-334108,G,Gnetaceae,,Gnetum,,"diminutum",,"","Markgr.",Accepted,,H,WCSP,334108,383513-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 483","","1930"
kew-334111,G,Gnetaceae,,Gnetum,,"formosum",,"","Markgr.",Accepted,,H,WCSP,334111,383516-1,"Bull. Mus. Natl. Hist. Nat.","II, 2: 686","","1930"
kew-334114,G,Gnetaceae,,Gnetum,,"giganteum",,"","H.Shao",Accepted,,H,WCSP,334114,980747-1,"Guihaia","14: 298","","1994"
kew-334115,G,Gnetaceae,,Gnetum,,"globosum",,"","Markgr.",Accepted,,H,WCSP,334115,383519-1,"Blumea","19: 108","","1971"
kew-334116,G,Gnetaceae,,Gnetum,,"gnemon",,"","L.",Accepted,,H,WCSP,334116,383520-1,"Mant. Pl.","1: 125","","1767"
kew-334117,G,Gnetaceae,,Gnetum,,"gnemon",var.,"brunonianum","(Griff.) Markgr.",Accepted,,L,WCSP,334117,60453968-2,"Bull. Jard. Bot. Buitenzorg","III, 10: 440","","1930"
kew-334120,G,Gnetaceae,,Gnetum,,"gnemon",var.,"griffithii","(Parl.) Markgr.",Accepted,,L,WCSP,334120,60453969-2,"Bull. Jard. Bot. Buitenzorg","III, 10: 442","","1930"
kew-334129,G,Gnetaceae,,Gnetum,,"gnemonoides",,"","Brongn.",Accepted,,H,WCSP,334129,,"Voy. Monde","Phan.: 12","","1829"
